"Id","Version_Politica__c"
"ka0gK000000t6kjQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kkQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6klQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kmQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6knQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6koQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kpQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kqQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6krQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6ksQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6ktQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kuQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kvQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kwQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kxQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kyQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6kzQAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6l0QAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6l1QAA","v1.0-sintetica-no-verificada"
"ka0gK000000t6l2QAA","v1.0-sintetica-no-verificada"
